m;t;T;T^2
110;12,4 \pm\; 0,2;0,653 \pm\; 0,011;0,426 \pm\; 0,014
160;15,5 \pm\; 0,2;0,816 \pm\; 0,011;0,666 \pm\; 0,018
210;18,2 \pm\; 0,2;0,958 \pm\; 0,011;0,918 \pm\; 0,021
260;20,4 \pm\; 0,2;1,074 \pm\; 0,011;1,153 \pm\; 0,024
310;22,4 \pm\; 0,2;1,179 \pm\; 0,011;1,390 \pm\; 0,026
