m;t1;t2;t3;t;s
50;12,45;12,42;12,44;12,44;0,01
100;15,58;15,53;15,53;15,55;0,03
150;18,10;18,26;18,11;18,16;0,08
200;20,41;20,31;20,46;20,39;0,08
250;22,56;22,44;22,31;22,44;0,13
