m;t1;t2;t3;t;s
39;10,19;10,14;10,13;10,15;0,03
60;11,89;12,08;11,95;11,97;0,09
80;13,36;13,41;13,38;13,38;0,03
100;14,84;14,86;14,90;14,87;0,03
120;15,99;16,01;15,98;15,99;0,02
