0,05;0,0912 \pm\; 0,0002;44;4;44 \pm\; 4
0,10;0,0906 \pm\; 0,0002;22,1;1,2;22,1 \pm\; 1,2
0,15;0,09001 \pm\; 0,00019;14,8;1,2;14,8 \pm\; 1,2
0,20;0,08949 \pm\; 0,00017;11,2;1,2;11,2 \pm\; 1,2
0,25;0,08902 \pm\; 0,00015;9,0;1,2;9,0 \pm\; 1,2
