l;t;T;
113;13,8 \pm\; 0,2;0,688 \pm\; 0,010;13,8
152;16,0 \pm\; 0,2;0,801 \pm\; 0,010;16,0
229;19,8 \pm\; 0,2;0,992 \pm\; 0,010;19,8
290;22,3 \pm\; 0,2;1,116 \pm\; 0,010;22,3
392;26,0 \pm\; 0,2;1,300 \pm\; 0,010;26,0
461;27,9 \pm\; 0,2;1,397 \pm\; 0,010;27,9
544;30,4 \pm\; 0,2;1,521 \pm\; 0,010;30,4
611;33,0 \pm\; 0,2;1,652 \pm\; 0,010;33,0
