l;t;T;;
174;8,1 \pm\; 0,2;0,81 \pm\; 0,02;8,1;0,81
217;9,1 \pm\; 0,2;0,91 \pm\; 0,02;9,1;0,91
325;11,3 \pm\; 0,2;1,13 \pm\; 0,02;11,3;1,13
389;12,2 \pm\; 0,2;1,22 \pm\; 0,02;12,2;1,22
416;12,7 \pm\; 0,2;1,27 \pm\; 0,02;12,7;1,27
460;13,4 \pm\; 0,2;1,34 \pm\; 0,02;13,4;1,34
503;14,0 \pm\; 0,2;1,40 \pm\; 0,02;14,0;1,40
546;14,7 \pm\; 0,2;1,47 \pm\; 0,02;14,7;1,47
