1/1.5,0.6666666667,0.67,27.0
1/0.5,2,2,49.0
1/0.32,3.125,3.13,63.3
1.5/1.5,1,1,34.5
1.5/0.5,3,3,111.1
1.5/0.32,4.6875,4.69,119.9
2/1.5,1.333333333,1.33,36.8
2/0.5,4,4,133.8
2/0.32,6.25,6.25,127.5
